pid,cap,desc,oos_net,oos_m,oos_med,oos_d3,oos_dd,oos_min,oos_lv,oos_lot,full_m,full_d3,full_dd,full_lv
T041,0.85,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.2,1301855.6458897213,2.31562561568186,1.9862819086257668,0.9294301460505361,29.637190106975176,500000.0,108.62891468238396,0.8300000000000001,3.189302116637882,2.141603188489638,39.823825888076925,108.62891468238396
T045,0.75,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.5,1290027.7022335203,2.3035933617691073,1.5555282446318854,0.9185717117904613,32.815141382646814,496026.0,121.55948903927032,1.07,3.3399120588018194,2.171980366236359,40.61351519644958,121.55948903927032
T039,0.85,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1289800.7352862395,2.3033617115215455,1.2564959346044355,0.3930486421813484,42.73159684842731,500000.0,105.70435190255154,1.52,3.563028120750622,2.106482556164102,56.22207960251355,103.91721517445606
T041,0.8,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.2,1285300.4830835422,2.2987626327089172,1.9862819086257668,0.9432039725867147,29.637190106975176,500000.0,115.71782592015343,0.8200000000000001,3.1876994497852307,2.1392744154983934,39.76221653992846,115.71782592015343
T044,0.7,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.35,1246364.9908205473,2.258489950435316,1.899,0.9429474440957986,30.448449596517584,499483.0,131.72250090159193,0.88,3.2286549695072164,2.1257203349236864,40.019642803974534,131.72250090159193
T041,0.75,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.2,1236521.7810743693,2.2481690410220745,1.9862819086257668,0.9146640578702403,29.637190106975176,500000.0,123.51323347461584,0.73,3.1464322533400146,2.0954666796549004,39.724888982046345,123.51323347461584
T045,0.7,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.5,1223795.943766601,2.234740113344502,1.562339971037076,0.8277515856074613,32.62694378977848,496026.0,131.77332097283346,0.96,3.2689776054149355,2.0894472832426514,40.26462736891158,131.77332097283346
T039,0.8,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1,1207985.1663962482,2.2179195145028974,0.8158031160885322,0.27315670300884776,41.91752524352217,500000.0,113.30233185521499,1.43,3.5324410352677305,2.084928274351161,54.4228553633089,110.78546346062407
T043,0.9,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.15,1201479.524476632,2.210953911904845,1.507031300207257,0.8049588854771361,29.534864162300977,500000.0,105.09892112013964,0.79,3.0920414486319325,2.042456075091992,39.68981915026622,102.66666274521734
T041,0.7,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.2,1198846.9369695801,2.2081277587492787,1.9788770002011145,0.8992212006521338,29.53583116390573,500000.0,132.4639021166464,0.72,3.111939336385827,2.059441006366125,39.58561645339964,132.4639021166464
T043,0.85,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.15,1197397.2021882138,2.206569592568264,1.507031300207257,0.8125362851232776,29.534864162300977,500000.0,108.66861613193402,0.79,3.10016544542433,2.0530050247608234,39.79238037447176,108.66861613193402
T043,0.8,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.15,1193953.9700996475,2.202863582540715,1.507031300207257,0.8293764406886117,29.534864162300977,500000.0,115.98982161797969,0.78,3.101758400654586,2.0572903200108072,39.87929854881764,115.98982161797969
T042,,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.1,1183958.4827586208,2.1920632050204336,1.5120190611688238,0.789879424085127,30.461884640691466,500000.0,103.87110536696457,0.8,3.0468179351545777,1.9791001390616625,40.20765571374684,82.45265432803424
T042,1.0,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.1,1183958.4827586208,2.1920632050204336,1.5120190611688238,0.789879424085127,30.461884640691466,500000.0,103.87110536696457,0.8,3.046982849833113,1.9825034969000122,40.20765571374684,91.38412736699219
T042,0.9,マスク=23 / risk%=1 / FxRiskRefCap=0 / RefCap=0 / 倍率=1 / SCA_GJ重み=0.1,1179255.4856485976,2.1869596971566985,1.5120190611688238,0.7915438332919633,30.461884640691466,500000.0,105.12993698109074,0.79,3.050078651020094,1.9940687907951116,40.074544315764896,102.56478864200957
