proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,description,parameter_json,elapsed,run_id
S2015,S01_window,OOS,OK,70983.0,1.3375,2.4828,0.2581,523,20752,50,52540,245,-2309,228,第2レンジ 15-17時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 17, ""Sca2RangeStart"": 15, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2015_20260905100407_becf
S2016,S01_window,OOS,OK,78986.0,1.4557,2.9796,0.2872,448,20752,50,52540,245,5694,153,第2レンジ 15-18時（締切20h・決済23h）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 18, ""Sca2RangeStart"": 15, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2016_20260905100510_291b
S2017,S02_timing,OOS,OK,87021.0,1.577,2.267,0.3164,357,20752,50,52540,245,13729,62,第2レンジ13-15時・締切17h・強制決済20h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 20, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 17}",63.6,s2_oos_S2017_20260905100614_e65a
S2018,S02_timing,OOS,OK,101588.0,1.6704,2.2095,0.3694,357,20752,50,52540,245,28296,62,第2レンジ13-15時・締切17h・強制決済22h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 22, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 17}",63.6,s2_oos_S2018_20260905100718_e2c5
S2019,S02_timing,OOS,OK,90245.0,1.5736,2.2443,0.3282,366,20752,50,52540,245,16953,71,第2レンジ13-15時・締切18h・強制決済21h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 21, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 18}",63.6,s2_oos_S2019_20260905100821_1d09
S2020,S02_timing,OOS,OK,105273.0,1.6159,2.1546,0.3828,366,20752,50,52540,245,31981,71,第2レンジ13-15時・締切18h・強制決済23h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 18}",63.7,s2_oos_S2020_20260905100925_a952
S2021,S02_timing,OOS,OK,89519.0,1.5363,2.3251,0.3255,376,20752,50,52540,245,16227,81,第2レンジ13-15時・締切19h・強制決済22h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 22, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 19}",63.5,s2_oos_S2021_20260905101028_87e3
S2022,S02_timing,OOS,OK,96413.0,1.5337,2.2407,0.3506,376,20752,50,52540,245,23121,81,第2レンジ13-15時・締切19h・強制決済23h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 19}",63.6,s2_oos_S2022_20260905101132_fa52
S2023,S02_timing,OOS,OK,89719.0,1.5354,2.3264,0.3263,380,20752,50,52540,245,16427,85,第2レンジ13-15時・締切20h・強制決済22h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 22, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",63.6,s2_oos_S2023_20260905101235_7005
S2024,S02_timing,OOS,OK,98488.0,1.5436,2.2382,0.3581,383,20752,50,52540,245,25196,88,第2レンジ13-15時・締切21h・強制決済23h,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.05, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 21}",63.6,s2_oos_S2024_20260905101339_556a
