proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,description,parameter_json,elapsed,run_id
S2B040,W4_range_filter,OOS,OK,98434.0,1.6659,2.1217,0.3579,333,20752,50,52540,245,25142,38,レンジ幅0.5〜0.8ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 0.8, ""Sca2MinRange"": 0.5, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B040_20260905145723_192b
S2B041,W4_range_filter,OOS,OK,105882.0,1.7075,2.1217,0.385,335,20752,50,52540,245,32590,40,レンジ幅0.5〜1.0ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.5, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B041_20260905145832_b5d6
S2B042,W4_range_filter,OOS,OK,104401.0,1.6883,2.5164,0.3796,337,20752,50,52540,245,31109,42,レンジ幅0.5〜1.4ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.4, ""Sca2MinRange"": 0.5, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B042_20260905145940_1e92
S2B043,W4_range_filter,OOS,OK,75778.0,1.5405,2.4103,0.2756,312,20752,50,52540,245,2486,17,レンジ幅0.6〜0.8ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 0.8, ""Sca2MinRange"": 0.6, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B043_20260905150049_caca
S2B044,W4_range_filter,OOS,OK,83226.0,1.5859,2.4103,0.3026,314,20752,50,52540,245,9934,19,レンジ幅0.6〜1.0ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.6, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B044_20260905150158_1ae0
S2B045,W4_range_filter,OOS,OK,81745.0,1.5674,2.8078,0.2973,316,20752,50,52540,245,8453,21,レンジ幅0.6〜1.4ATR（中心0.40〜1.00）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.4, ""Sca2MinRange"": 0.6, ""Sca2RR"": 1.7, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B045_20260905150307_38d6
S2B046,W5_rr,OOS,OK,86278.0,1.4657,2.2525,0.3137,389,20752,50,52540,245,12986,94,第2セッションのRRを1.3に（中心1.7）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.3, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B046_20260905150416_fb2c
S2B047,W5_rr,OOS,OK,92655.0,1.5001,2.2104,0.3369,389,20752,50,52540,245,19363,94,第2セッションのRRを1.5に（中心1.7）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.5, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B047_20260905150525_8e0e
S2B048,W5_rr,OOS,OK,99874.0,1.5408,2.2247,0.3632,388,20752,50,52540,245,26582,93,第2セッションのRRを1.9に（中心1.7）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.9, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B048_20260905150634_a8d3
S2B049,W5_rr,OOS,OK,93014.0,1.5021,2.2247,0.3382,388,20752,50,52540,245,19722,93,第2セッションのRRを2.1に（中心1.7）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 2.1, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B049_20260905150743_3246
S2B050,W5_rr,OOS,OK,97025.0,1.5237,2.2247,0.3528,388,20752,50,52540,245,23733,93,第2セッションのRRを2.4に（中心1.7）,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 2.4, ""Sca2RangeEnd"": 15, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B050_20260905150852_41e4
S2B051,W6_window_x_rr,OOS,OK,88859.0,1.5199,4.4241,0.3231,365,20752,50,52540,245,15567,70,第2レンジ12-14時 × RR1.5,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.5, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B051_20260905151001_2fe8
S2B052,W6_window_x_rr,OOS,OK,89621.0,1.5244,4.4058,0.3259,365,20752,50,52540,245,16329,70,第2レンジ12-14時 × RR1.9,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.9, ""Sca2RangeEnd"": 14, ""Sca2RangeStart"": 12, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B052_20260905151109_2970
S2B053,W6_window_x_rr,OOS,OK,47048.0,1.182,3.6458,0.1711,561,20752,50,52540,245,-26244,266,第2レンジ14-16時 × RR1.5,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.5, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B053_20260905151218_8640
S2B054,W6_window_x_rr,OOS,OK,54789.0,1.2196,3.8686,0.1992,560,20752,50,52540,245,-18503,265,第2レンジ14-16時 × RR1.9,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.9, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 14, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",69.0,s2b_oos_S2B054_20260905151327_f514
S2B055,W6_window_x_rr,OOS,OK,51030.0,1.1929,4.4897,0.1856,595,20752,50,52540,245,-22262,300,第2レンジ13-16時 × RR1.5,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.5, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",74.0,s2b_oos_S2B055_20260905151436_fd44
S2B056,W6_window_x_rr,OOS,OK,60749.0,1.2388,4.6343,0.2209,593,20752,50,52540,245,-12543,298,第2レンジ13-16時 × RR1.9,"{""Sca2BoostMult"": 2.0, ""Sca2Buffer"": 0.0, ""Sca2Enable"": true, ""Sca2ForceClose"": 23, ""Sca2Lot"": 0.01, ""Sca2MaxRange"": 1.0, ""Sca2MinRange"": 0.4, ""Sca2RR"": 1.9, ""Sca2RangeEnd"": 16, ""Sca2RangeStart"": 13, ""Sca2RevBoost"": true, ""Sca2SkipFriday"": true, ""Sca2TradeEnd"": 20}",68.9,s2b_oos_S2B056_20260905151550_59ea
