proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,sca3_net,sca3_n,sca4_net,sca4_n,description,parameter_json,elapsed,run_id
S4022,U2_trade_end,IS,OK,599915.0,1.9031,4.5553,1.9997,528,196940,63,179120,242,123237,91,,,74955,121,25663,11,第4レンジ12-13時・締切17h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 17}",93.8,s4_is_S4022_20260905221522_4f4c
S4023,U2_trade_end,IS,OK,599296.0,1.8948,4.5585,1.9977,532,196940,63,179120,242,123237,91,,,74955,121,25044,15,第4レンジ12-13時・締切19h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 19}",93.8,s4_is_S4023_20260905221656_9ed9
S4024,U2_trade_end,IS,OK,599296.0,1.8948,4.5585,1.9977,532,196940,63,179120,242,123237,91,,,74955,121,25044,15,第4レンジ12-13時・締切21h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 21}",93.9,s4_is_S4024_20260905221830_8cc8
S4025,U2_trade_end,IS,OK,599296.0,1.8948,4.5585,1.9977,532,196940,63,179120,242,123237,91,,,74955,121,25044,15,第4レンジ12-13時・締切22h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 22}",93.7,s4_is_S4025_20260905222004_fb62
S4026,U3_force_close,IS,OK,585016.0,1.8805,4.6329,1.9501,532,196940,63,179120,242,123237,91,,,74955,121,10764,15,第4レンジ12-13時・強制決済20h・締切<決済を守るため締切19hへ調整,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 20, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 19}",93.8,s4_is_S4026_20260905222137_91e6
S4027,U3_force_close,IS,OK,584724.0,1.8797,4.6344,1.9491,532,196940,63,179120,242,123237,91,,,74955,121,10472,15,第4レンジ12-13時・強制決済21h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 21, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.8,s4_is_S4027_20260905222311_86da
S4028,U3_force_close,IS,OK,595149.0,1.8971,4.5799,1.9838,532,196940,63,179120,242,123237,91,,,74955,121,20897,15,第4レンジ12-13時・強制決済22h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 22, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.8,s4_is_S4028_20260905222445_b978
S4029,U3_force_close,IS,OK,577502.0,1.8369,4.7515,1.925,532,196940,63,179120,242,123237,91,,,74955,121,3250,15,第4レンジ12-13時・強制決済24h,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 24, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.8,s4_is_S4029_20260905222619_7509
S4030,U4_rr,IS,OK,605006.0,1.9068,4.5294,2.0167,532,196940,63,179120,242,123237,91,,,74955,121,30754,15,第4セッションRR1.3,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.3, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.7,s4_is_S4030_20260905222757_4f9d
S4031,U4_rr,IS,OK,608820.0,1.9126,4.5102,2.0294,532,196940,63,179120,242,123237,91,,,74955,121,34568,15,第4セッションRR1.5,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.5, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.8,s4_is_S4031_20260905222931_fdf8
S4032,U4_rr,IS,OK,600465.0,1.8966,4.5525,2.0015,532,196940,63,179120,242,123237,91,,,74955,121,26213,15,第4セッションRR1.9,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 1.9, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.8,s4_is_S4032_20260905223105_6cf6
S4033,U4_rr,IS,OK,601945.0,1.8988,4.545,2.0065,532,196940,63,179120,242,123237,91,,,74955,121,27693,15,第4セッションRR2.1,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 2.1, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.8,s4_is_S4033_20260905223239_30d2
S4034,U4_rr,IS,OK,604137.0,1.9021,4.5338,2.0138,532,196940,63,179120,242,123237,91,,,74955,121,29885,15,第4セッションRR2.4,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.4, ""Sca4RR"": 2.4, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.7,s4_is_S4034_20260905223417_4978
S4035,U5_range_filter,IS,OK,679261.0,1.6624,8.0101,2.2642,836,196940,63,179120,242,123237,91,,,74955,121,105009,319,第4レンジ幅0.2〜0.8ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 0.8, ""Sca4MinRange"": 0.2, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.8,s4_is_S4035_20260905223551_cbbc
S4036,U5_range_filter,IS,OK,688339.0,1.6712,7.9032,2.2945,837,196940,63,179120,242,123237,91,,,74955,121,114087,320,第4レンジ幅0.2〜1.0ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 1.0, ""Sca4MinRange"": 0.2, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",98.8,s4_is_S4036_20260905223730_0090
S4037,U5_range_filter,IS,OK,621398.0,1.802,6.4288,2.0713,583,196940,63,179120,242,123237,91,,,74955,121,47146,66,第4レンジ幅0.3〜0.8ATR,"{""Sca4BoostMult"": 2.0, ""Sca4Buffer"": 0.0, ""Sca4Enable"": true, ""Sca4ForceClose"": 23, ""Sca4Lot"": 0.01, ""Sca4MaxRange"": 0.8, ""Sca4MinRange"": 0.3, ""Sca4RR"": 1.7, ""Sca4RangeEnd"": 13, ""Sca4RangeStart"": 12, ""Sca4RevBoost"": true, ""Sca4SkipFriday"": true, ""Sca4TradeEnd"": 20}",93.7,s4_is_S4037_20260905223909_8805
