proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,sca_uj_net,sca_uj_n,sca_gj_net,sca_gj_n,uj2_net,uj2_n,gj2_net,gj2_n,sca1_net,sca1_n,sca2_net,sca2_n,pb_net,pb_n,description,parameter_json,elapsed,run_id,deals
X061,G3,OOS,OK,9490.0,1.0136,8.4788,0.0345,1514,-2224,266,42219,621,,,-51259,533,,,20754,94,,,SCA GBPJPY 第2セッション: RR 2.4,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.4, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",94.0,fx_oos_X061_20260907115153_4303,fx_oos_X061_20260907115153_4303_deals.csv
X062,G3,OOS,OK,14486.0,1.0208,8.3022,0.0527,1514,-2224,266,42219,621,,,-46263,533,,,20754,94,,,SCA GBPJPY 第2セッション: RR 3.0,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 3.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",99.0,fx_oos_X062_20260907115327_9593,fx_oos_X062_20260907115327_9593_deals.csv
X063,G4,OOS,OK,-56898.0,0.94,17.883,-0.2069,1997,-2224,266,42219,621,,,-117647,1016,,,20754,94,,,SCA GBPJPY 第2セッション: レンジ幅 0.2-0.8,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 0.8, ""Sca6MinRange"": 0.2, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",99.0,fx_oos_X063_20260907115506_8f4e,fx_oos_X063_20260907115506_8f4e_deals.csv
X064,G4,OOS,OK,-60651.0,0.9367,18.3298,-0.2205,2017,-2224,266,42219,621,,,-121400,1036,,,20754,94,,,SCA GBPJPY 第2セッション: レンジ幅 0.2-1.4,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.4, ""Sca6MinRange"": 0.2, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",99.2,fx_oos_X064_20260907115645_abe6,fx_oos_X064_20260907115645_abe6_deals.csv
X065,G4,OOS,OK,36126.0,1.0649,5.4252,0.1314,1210,-2224,266,42219,621,,,-24623,229,,,20754,94,,,SCA GBPJPY 第2セッション: レンジ幅 0.4-0.8,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 0.8, ""Sca6MinRange"": 0.4, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",93.9,fx_oos_X065_20260907115825_3077,fx_oos_X065_20260907115825_3077_deals.csv
X066,G4,OOS,OK,32373.0,1.0572,5.6283,0.1177,1230,-2224,266,42219,621,,,-28376,249,,,20754,94,,,SCA GBPJPY 第2セッション: レンジ幅 0.4-1.4,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.4, ""Sca6MinRange"": 0.4, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",94.1,fx_oos_X066_20260907115958_9907,fx_oos_X066_20260907115958_9907_deals.csv
X067,G4,OOS,OK,23327.0,1.0467,6.7779,0.0848,1095,-2224,266,42219,621,,,-37422,114,,,20754,94,,,SCA GBPJPY 第2セッション: レンジ幅 0.5-1.4,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.4, ""Sca6MinRange"": 0.5, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",94.1,fx_oos_X067_20260907120133_b6c3,fx_oos_X067_20260907120133_b6c3_deals.csv
X068,G5,OOS,OK,-6095.0,0.991,9.9191,-0.0222,1450,-2224,266,42219,621,,,-66844,469,,,20754,94,,,SCA GBPJPY 第2セッション: バッファ 0.05,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.05, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",99.0,fx_oos_X068_20260907120307_7ef6,fx_oos_X068_20260907120307_7ef6_deals.csv
X069,G5,OOS,OK,-1470.0,0.9975,11.9344,-0.0053,1263,-2224,266,42219,621,,,-62219,282,,,20754,94,,,SCA GBPJPY 第2セッション: バッファ 0.2,"{""Sca6BoostMult"": 6.0, ""Sca6Buffer"": 0.2, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",94.0,fx_oos_X069_20260907120446_410e,fx_oos_X069_20260907120446_410e_deals.csv
X070,G5,OOS,OK,38022.0,1.07,8.1032,0.1383,1514,-2224,266,42219,621,,,-22727,533,,,20754,94,,,SCA GBPJPY 第2セッション: Boost 1.0,"{""Sca6BoostMult"": 1.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",99.0,fx_oos_X070_20260907120620_2c31,fx_oos_X070_20260907120620_2c31_deals.csv
X071,G5,OOS,OK,24231.0,1.0401,7.8747,0.0881,1514,-2224,266,42219,621,,,-36518,533,,,20754,94,,,SCA GBPJPY 第2セッション: Boost 3.0,"{""Sca6BoostMult"": 3.0, ""Sca6Buffer"": 0.0, ""Sca6Enable"": true, ""Sca6ForceClose"": 23, ""Sca6Lot"": 0.01, ""Sca6MaxRange"": 1.0, ""Sca6MinRange"": 0.3, ""Sca6RR"": 2.0, ""Sca6RangeEnd"": 15, ""Sca6RangeStart"": 13, ""Sca6RevBoost"": true, ""Sca6SkipFriday"": false, ""Sca6TradeEnd"": 20}",98.9,fx_oos_X071_20260907120759_9873,fx_oos_X071_20260907120759_9873_deals.csv
