proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,pb2_net,pb2_n,sca3_net,sca3_n,description,parameter_json,elapsed,run_id
S3040,T6_buffer,IS,OK,568892.0,1.8686,5.14,1.8963,529,196940,63,179120,242,123237,91,,,69595,133,第3バッファ0.05ATR,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.05, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3040_20260905185335_9102
S3041,T6_buffer,IS,OK,593489.0,1.9592,5.0875,1.9783,512,196940,63,179120,242,123237,91,,,94192,116,第3バッファ0.1ATR,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.1, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3041_20260905185504_4e1e
S3042,T7_friday_boost,IS,OK,727940.0,2.0236,4.4959,2.4265,577,196940,63,179120,242,123237,91,,,228643,181,第3セッション金曜も取引,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": false, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3042_20260905185637_bbe3
S3043,T7_friday_boost,IS,OK,591536.0,1.9556,4.4202,1.9718,543,196940,63,179120,242,123237,91,,,92239,147,第3セッション逆行ブーストなし,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": false, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.6,s3_is_S3043_20260905185811_e775
S3044,T7_friday_boost,IS,OK,591536.0,1.9556,4.4202,1.9718,543,196940,63,179120,242,123237,91,,,92239,147,第3逆行ブースト1.5倍,"{""Sca3BoostMult"": 1.5, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",88.7,s3_is_S3044_20260905185945_9c05
S3045,T7_friday_boost,IS,OK,625375.0,1.8626,5.3597,2.0846,543,196940,63,179120,242,123237,91,,,126078,147,第3逆行ブースト3.0倍,"{""Sca3BoostMult"": 3.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",93.7,s3_is_S3045_20260905190113_3d79
S3001,T1_window,OOS,OK,114549.0,1.4535,2.7161,0.4165,539,20752,50,52540,245,20733,94,,,20524,150,第3レンジ9-11時・EA既定の中心点（有効化）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 11, ""Sca3RangeStart"": 9, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3001_20260905190247_652d
S3002,T1_window,OOS,OK,104783.0,1.5551,2.2237,0.381,392,20752,50,52540,245,20733,94,,,10758,3,第3レンジ7-8時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 8, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3002_20260905190356_9f54
S3003,T1_window,OOS,OK,90579.0,1.4247,2.6182,0.3294,417,20752,50,52540,245,20733,94,,,-3446,28,第3レンジ7-9時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 9, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.5,s3_oos_S3003_20260905190504_5efb
S3004,T1_window,OOS,OK,101653.0,1.41,3.0817,0.3696,501,20752,50,52540,245,20733,94,,,7628,112,第3レンジ7-10時（締切20h・決済23h）,"{""Sca3BoostMult"": 2.0, ""Sca3Buffer"": 0.0, ""Sca3Enable"": true, ""Sca3ForceClose"": 23, ""Sca3Lot"": 0.01, ""Sca3MaxRange"": 1.0, ""Sca3MinRange"": 0.4, ""Sca3RR"": 1.7, ""Sca3RangeEnd"": 10, ""Sca3RangeStart"": 7, ""Sca3RevBoost"": true, ""Sca3SkipFriday"": true, ""Sca3TradeEnd"": 20}",68.6,s3_oos_S3004_20260905190613_a4a3
