proposal_id,family,status,survive,strict,tradeoff,params,is_net,is_pf,is_dd_abs,is_dd_pct,is_trades,oos_net,oos_pf,oos_dd_abs,oos_dd_pct,oos_trades,full_net,full_pf,full_dd_abs,full_dd_pct,full_trades
F07-33,F07,OK,True,False,False,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.9}",891069.5000000001,1.7236838792537879,35782.19999999995,1.880990162153669,2041.0,214485.09999999998,1.2749780066414689,36485.5,2.303457797266672,1917.0,1105554.6,1.5496703433512415,36485.5,2.303457797266672,3958.0
F07-34,F07,OK,True,False,False,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.9}",893745.4,1.7264256099771362,36355.5,1.8880898524859995,2041.0,214039.30000000002,1.2743000609500728,35406.0,2.2373389025627093,1917.0,1107784.7000000002,1.5509601949385563,36355.5,2.2373389025627093,3958.0
F07-35,F07,OK,True,False,False,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.9}",891410.7,1.723086737001163,36277.80000000005,1.9398554163047026,2041.0,215818.5,1.2754429107353031,36808.30000000005,2.323055436746707,1917.0,1107229.2,1.5491342411829006,36808.30000000005,2.323055436746707,3958.0
F07-36,F07,OK,True,False,False,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.9}",894830.1,1.7254780571754444,36661.09999999986,1.925373889524341,2041.0,219126.8,1.27906787193281,35464.90000000014,2.238586741772477,1917.0,1113956.9000000001,1.5518340324162034,36661.09999999963,2.238586741772477,3958.0
F07-37,F07,OK,True,False,False,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.9}",902919.2,1.7280486196156268,37000.299999999814,1.9321227794540885,2041.0,216412.8,1.273727646476104,36548.700000000186,2.306225522299797,1917.0,1119332.0,1.5511766667434836,37000.299999999814,2.306225522299797,3958.0
F07-38,F07,OK,True,False,False,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.9}",906161.7,1.7262452001033552,37497.90000000014,1.9558738493993009,2041.0,219563.09999999998,1.278232374989498,36891.0,2.326839342185217,1917.0,1125724.8,1.5526736132368526,37497.89999999991,2.326839342185217,3958.0
F07-39,F07,OK,True,False,False,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.9}",909004.4,1.7228725304360462,37394.299999999814,1.951887308616715,2041.0,221869.99999999997,1.2799917518092134,36714.80000000005,2.31478323259364,1917.0,1130874.4,1.5516715064021978,37394.30000000028,2.31478323259364,3958.0
F07-40,F07,OK,True,False,False,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.9}",912227.2,1.724104893491807,37569.69999999995,1.959770396745824,2041.0,220554.3,1.2779316141519943,36858.10000000009,2.3240529941663697,1917.0,1132781.4999999998,1.5516732657827739,37569.69999999972,2.3240529941663697,3958.0
F08-01,F08,OK,True,False,False,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.0}",681754.0,2.035236557947852,34609.0,2.203439145186069,951.0,129205.0,1.2828994760431514,44034.0,2.74094195681619,1070.0,810959.0,1.7271440176603607,44034.0,2.74094195681619,2021.0
F08-02,F08,OK,True,False,False,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.0}",488203.0,1.797669095169083,30975.0,1.975850923562796,856.0,175425.0,1.3885528358764339,31460.0,1.9610116476362516,1077.0,663628.0,1.6239920264781105,31460.0,1.9610116476362516,1933.0
F08-03,F08,OK,True,False,False,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.0}",608273.0,1.9607015659672593,31134.0,1.770466773348721,897.0,173833.0,1.3619582848349947,27546.0,1.7316436407389502,1083.0,782106.0,1.7024407856211357,31134.0,1.7316436407389502,1980.0
F08-04,F08,OK,True,False,False,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.0}",643612.0,2.0162765433346386,31471.0,1.89096276680015,860.0,155319.0,1.3214310104695464,30680.0,1.9435816510181316,1098.0,798931.0,1.7155577847140433,31471.0,1.9435816510181316,1958.0
F08-05,F08,OK,True,False,False,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.0}",691848.0,2.0174579434304394,31796.0,2.0280076733701264,874.0,189812.0,1.347225753814577,29393.0,1.8513129816764544,1283.0,881660.0,1.7187660500721489,31796.0,1.8513129816764544,2157.0
F08-06,F08,OK,True,False,False,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.0}",744513.0,2.022490273121679,31414.0,1.6844672324097203,1003.0,196640.0,1.3302354170095423,33562.0,2.121279922738437,1426.0,941153.0,1.7110602897722937,33562.0,2.121279922738437,2429.0
F08-07,F08,OK,True,False,False,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.0}",783280.0,2.020976632815728,31925.0,2.0375301241728616,1123.0,201864.0,1.309201890159377,52816.0,3.3321913940680985,1607.0,985144.0,1.6937428611266427,52816.0,3.3321913940680985,2730.0
