id,family,template,symbol,period,params,priority,lot,note,is_net,is_pf,is_n,oos_net,oos_pf,oos_n,verdict
M080,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 80, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2214.0,0.972,275,reject
M081,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 80, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,8027.0,1.0844,268,-2214.0,0.972,275,reject
M082,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.1},S,0.01,レンジフィルター閾値の細密格子,-13985.0,0.835,209,4649.0,1.069,228,reject
M083,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.15},S,0.01,レンジフィルター閾値の細密格子,2980.0,1.0349,232,1424.0,1.0188,260,PASS
M084,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.25},S,0.01,レンジフィルター閾値の細密格子,10152.0,1.1015,291,-8977.0,0.8915,296,reject
M085,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.3},S,0.01,レンジフィルター閾値の細密格子,11066.0,1.1032,322,-8240.0,0.9072,319,reject
M086,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.4},S,0.01,レンジフィルター閾値の細密格子,6474.0,1.0551,364,-11314.0,0.8865,354,reject
M094,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M095,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M096,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M097,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M098,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M099,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M100,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M101,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M102,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,-1587.0,0.9129,56,3986.0,1.174,77,reject
M103,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.1},S,0.01,レンジフィルター閾値の細密格子,-3882.0,0.7489,45,3682.0,1.1901,66,reject
M104,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.15},S,0.01,レンジフィルター閾値の細密格子,-3733.0,0.7848,52,2877.0,1.1385,70,reject
M105,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.25},S,0.01,レンジフィルター閾値の細密格子,-2831.0,0.8548,60,-4818.0,0.8259,86,reject
M106,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.3},S,0.01,レンジフィルター閾値の細密格子,-2614.0,0.8721,63,-6185.0,0.7935,94,reject
M107,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.4},S,0.01,レンジフィルター閾値の細密格子,-646.0,0.9715,72,-15955.0,0.5442,103,reject
M115,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,3852.0,1.1632,57,8229.0,1.5162,55,PASS
M116,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子,3852.0,1.1632,57,8229.0,1.5162,55,PASS
M117,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子,4520.0,1.197,56,8229.0,1.5162,55,PASS
M118,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子,3852.0,1.1632,57,8229.0,1.5162,55,PASS
