proposal_id,family,description,parameter_json,mult,window,status,net,pf,dd_pct,monthly_pct,trades,final_balance,balance_source,blown,deals,elapsed,run_id,pb_gold_net,pb_gold_n,sca_gold_net,sca_gold_n,sca2_net,sca2_n,eth_net,eth_n,fund_net,fund_n,bfx_net,bfx_n
G041,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.5 / GszApplyBoost=false / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":false,""GszMaxLot"":0.5,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":3}",1,FULL,OK,692911.0,1.9189,4.2349,1.2051,933,1192911.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G041_20260910013627_cdf6_deals.csv,525.4,gc_full_G041_20260910013627_cdf6,217284,113,195726,487,143970,185,24731,44,31602,42,79598,62
G042,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.5 / GszApplyBoost=false / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":false,""GszMaxLot"":0.5,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":3}",1,FULL,OK,754108.0,1.8188,4.9335,1.3115,933,1254108.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_full_G042_20260910014512_d187_deals.csv,520.4,gc_full_G042_20260910014512_d187,228609,113,242203,487,143970,185,24731,44,31602,42,82993,62
G001,A,現行構成 / GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",1,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,618935.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G001_20260910015353_8059_deals.csv,169.5,gc_oos_G001_20260910015353_8059,20752,50,52540,245,20733,94,8289,20,1401,10,15220,51
G002,A,GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=2,"{""GlobalLotMult"":2,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",2,OOS,OK,237733.0,1.4961,5.4349,0.8645,470,737733.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G002_20260910015642_252b_deals.csv,164.0,gc_oos_G002_20260910015642_252b,41488,50,105076,245,41459,94,16470,20,2803,10,30437,51
G003,A,GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=3,"{""GlobalLotMult"":3,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",3,OOS,OK,356608.0,1.496,8.0094,1.2968,470,856608.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G003_20260910015926_7e19_deals.csv,159.1,gc_oos_G003_20260910015926_7e19,62241,50,157615,245,62184,94,24718,20,4198,10,45652,51
G004,A,GszMode=0 / GszSleeveMask=0 / GszRiskPct=0.0 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=4,"{""GlobalLotMult"":4,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":0,""GszRefCap"":0.0,""GszRiskPct"":0.0,""GszSleeveMask"":0}",4,OOS,OK,475524.0,1.4961,10.4877,1.7292,470,975524.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G004_20260910020205_ca6d_deals.csv,159.2,gc_oos_G004_20260910020205_ca6d,82984,50,210149,245,82911,94,32983,20,5610,10,60887,51
G005,B,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.25 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.25,""GszSleeveMask"":1}",1,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,618935.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G005_20260910020445_d688_deals.csv,159.1,gc_oos_G005_20260910020445_d688,20752,50,52540,245,20733,94,8289,20,1401,10,15220,51
G006,B,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":1}",1,OOS,OK,129236.0,1.5056,2.9463,0.4699,470,629236.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G006_20260910020724_76e3_deals.csv,159.2,gc_oos_G006_20260910020724_76e3,29285,50,52540,245,20733,94,8289,20,1401,10,16988,51
G007,B,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.25 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.25,""GszSleeveMask"":2}",1,OOS,OK,116586.0,1.481,3.2248,0.4239,470,616586.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G007_20260910021003_b6ae_deals.csv,159.0,gc_oos_G007_20260910021003_b6ae,20752,50,50191,245,20733,94,8289,20,1401,10,15220,51
G008,B,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":2}",1,OOS,OK,127003.0,1.3963,5.5208,0.4618,470,627003.0,summary:最終残高,False,C:\Users\f\source\repos\mt5_backtester\ml\goldcomp1\run_deals\gc_oos_G008_20260910021242_537c_deals.csv,159.3,gc_oos_G008_20260910021242_537c,20752,50,60608,245,20733,94,8289,20,1401,10,15220,51
