proposal_id,family,description,parameter_json
G028,F,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.01 / GszMaxLot=2.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":2.0,""GszMinLot"":0.01,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":3}"
G029,F,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.02 / GszMaxLot=2.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":2.0,""GszMinLot"":0.02,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":3}"
G030,G,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.25 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=false / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":false,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.25,""GszSleeveMask"":3}"
G031,G,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.5 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=false / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":false,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.5,""GszSleeveMask"":3}"
G032,H,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.15 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.15,""GszSleeveMask"":1}"
G033,H,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.15 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.15,""GszSleeveMask"":2}"
G034,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.15 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.15,""GszSleeveMask"":3}"
G035,H,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":1}"
G036,H,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":2}"
G037,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":3}"
G038,H,GszMode=1 / GszSleeveMask=1 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":1}"
G039,H,GszMode=1 / GszSleeveMask=2 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":2}"
G040,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.0 / GszApplyBoost=true / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":true,""GszMaxLot"":0.0,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":3}"
G041,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.35 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.5 / GszApplyBoost=false / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":false,""GszMaxLot"":0.5,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.35,""GszSleeveMask"":3}"
G042,H,GszMode=1 / GszSleeveMask=3 / GszRiskPct=0.6 / GszRefCap=0.0 / GszMinLot=0.0 / GszMaxLot=0.5 / GszApplyBoost=false / GlobalLotMult=1,"{""GlobalLotMult"":1,""GszApplyBoost"":false,""GszMaxLot"":0.5,""GszMinLot"":0.0,""GszMode"":1,""GszRefCap"":0.0,""GszRiskPct"":0.6,""GszSleeveMask"":3}"
