book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,OOS,6,10,0.3,500000,10000,3,20260911,1372,55.0,43.494897959183675,0.9355,0.0129,0.0516,9355,129,516,4116,1085.0,1010891.887521218,148984.25811041842
fx,OOS,8,10,0.3,500000,10000,3,20260911,1372,55.0,31.50874635568513,0.9263,0.0529,0.0208,9263,529,208,4116,786.0,1014813.6359010489,148660.2130379111
fx,OOS,12,10,0.3,500000,10000,3,20260911,1372,55.0,18.3600583090379,0.8408,0.157,0.0022,8408,1570,22,4116,458.0,1021534.2098930266,148014.3099771905
fx,OOS,16,10,0.3,500000,10000,3,20260911,1372,55.0,11.44497084548105,0.7492,0.2507,0.0001,7492,2507,1,4116,285.5,1026564.2666055195,147253.3953324637
fx,OOS,24,10,0.3,500000,10000,3,20260911,1372,55.0,5.451895043731779,0.6302,0.3698,0.0,6302,3698,0,4116,136.0,1038925.4526791523,145739.7824371184
fx,OOS,32,10,0.3,500000,10000,3,20260911,1372,55.0,3.1669096209912535,0.5567,0.4433,0.0,5567,4433,0,4116,79.0,1049002.1991897488,143853.05632165854
fx,OOS,0.5,20,0.1,500000,10000,3,20260911,1372,55.0,,0.0,0.0,1.0,0,0,10000,4116,,,
fx,OOS,1,20,0.1,500000,10000,3,20260911,1372,55.0,147.76239067055394,0.0603,0.0,0.9397,603,0,9397,4116,3686.0,1001913.5011666347,
fx,OOS,2,20,0.1,500000,10000,3,20260911,1372,55.0,111.5634110787172,0.6657,0.0,0.3343,6657,0,3343,4116,2783.0,1003648.7111977623,
fx,OOS,3,20,0.1,500000,10000,3,20260911,1372,55.0,81.33746355685132,0.8609,0.0,0.1391,8609,0,1391,4116,2029.0,1005689.2897495644,
fx,OOS,4,20,0.1,500000,10000,3,20260911,1372,55.0,62.616618075801746,0.9155,0.0,0.0845,9155,0,845,4116,1562.0,1007437.6077125913,
fx,OOS,6,20,0.1,500000,10000,3,20260911,1372,55.0,42.21209912536443,0.9507,0.0,0.0493,9507,0,493,4116,1053.0,1010794.2967092989,
fx,OOS,8,20,0.1,500000,10000,3,20260911,1372,55.0,31.26822157434402,0.9574,0.0021,0.0405,9574,21,405,4116,780.0,1014422.0610029323,49534.176440034345
fx,OOS,12,20,0.1,500000,10000,3,20260911,1372,55.0,20.12390670553936,0.9471,0.0251,0.0278,9471,251,278,4116,502.0,1020202.7810232115,49425.00668346499
