book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
fx,IS,3,10,0.2,500000,10000,3,20260911,1591,60.0,33.11125078566939,1.0,0.0,0.0,10000,0,0,4773,878.0,1009039.7370661166,
fx,IS,4,10,0.2,500000,10000,3,20260911,1591,60.0,24.965430546825896,1.0,0.0,0.0,10000,0,0,4773,662.0,1011717.5751424124,
fx,IS,6,10,0.2,500000,10000,3,20260911,1591,60.0,16.631049654305468,0.9997,0.0003,0.0,9997,3,0,4773,441.0,1017584.111832901,98357.30790997959
fx,IS,8,10,0.2,500000,10000,3,20260911,1591,60.0,12.576995600251415,0.9972,0.0028,0.0,9972,28,0,4773,333.5,1021698.5777186239,99147.57895516718
fx,IS,12,10,0.2,500000,10000,3,20260911,1591,60.0,8.258956631049655,0.977,0.023,0.0,9770,230,0,4773,219.0,1031135.1381088211,98205.52244469695
fx,IS,16,10,0.2,500000,10000,3,20260911,1591,60.0,5.864236329352608,0.931,0.069,0.0,9310,690,0,4773,155.5,1041551.5058207617,97005.1695789332
fx,IS,24,10,0.2,500000,10000,3,20260911,1591,60.0,3.2432432432432434,0.815,0.185,0.0,8150,1850,0,4773,86.0,1060076.9191426726,95590.98453889447
fx,IS,32,10,0.2,500000,10000,3,20260911,1591,60.0,2.0364550597108737,0.7238,0.2762,0.0,7238,2762,0,4773,54.0,1073636.7621026677,93770.11567058446
fx,IS,0.5,10,0.3,500000,10000,3,20260911,1591,60.0,161.03079824010055,0.3241,0.0,0.6759,3241,0,6759,4773,4270.0,1001618.7362991602,
fx,IS,1,10,0.3,500000,10000,3,20260911,1591,60.0,98.37209302325581,0.9804,0.0,0.0196,9804,0,196,4773,2608.5,1003055.0455469966,
fx,IS,2,10,0.3,500000,10000,3,20260911,1591,60.0,49.32746700188561,0.9996,0.0,0.0004,9996,0,4,4773,1308.0,1005996.4051316218,
fx,IS,3,10,0.3,500000,10000,3,20260911,1591,60.0,33.11125078566939,1.0,0.0,0.0,10000,0,0,4773,878.0,1009039.7370661166,
fx,IS,4,10,0.3,500000,10000,3,20260911,1591,60.0,24.965430546825896,0.9999,0.0001,0.0,9999,1,0,4773,662.0,1011718.9891848966,148968.94145543245
fx,IS,6,10,0.3,500000,10000,3,20260911,1591,60.0,16.631049654305468,0.9983,0.0017,0.0,9983,17,0,4773,441.0,1017583.0213365948,149061.15728396727
fx,IS,8,10,0.3,500000,10000,3,20260911,1591,60.0,12.482715273412948,0.99,0.01,0.0,9900,100,0,4773,331.0,1021774.6960314449,148481.2992623173
fx,IS,12,10,0.3,500000,10000,3,20260911,1591,60.0,7.957259585166562,0.9447,0.0553,0.0,9447,553,0,4773,211.0,1031002.8855512819,147204.40473703833
fx,IS,16,10,0.3,500000,10000,3,20260911,1591,60.0,5.392834695160277,0.8721,0.1279,0.0,8721,1279,0,4773,143.0,1041823.3482120415,146472.92311937315
fx,IS,24,10,0.3,500000,10000,3,20260911,1591,60.0,2.903834066624764,0.7445,0.2555,0.0,7445,2555,0,4773,77.0,1060110.103230645,143892.59669762393
fx,IS,32,10,0.3,500000,10000,3,20260911,1591,60.0,1.7724701445631679,0.6582,0.3418,0.0,6582,3418,0,4773,47.0,1074673.173534276,141358.9892854036
fx,IS,0.5,20,0.1,500000,10000,3,20260911,1591,60.0,159.91829038340666,0.3336,0.0,0.6664,3336,0,6664,4773,4240.5,1001651.8877007064,
fx,IS,1,20,0.1,500000,10000,3,20260911,1591,60.0,97.8629792583281,0.9781,0.0,0.0219,9781,0,219,4773,2595.0,1003175.3498809761,
fx,IS,2,20,0.1,500000,10000,3,20260911,1591,60.0,49.13890634820867,0.9994,0.0,0.0006,9994,0,6,4773,1303.0,1006255.6501854905,
fx,IS,3,20,0.1,500000,10000,3,20260911,1591,60.0,32.96040226272785,0.9995,0.0,0.0005,9995,0,5,4773,874.0,1009435.0378854113,
fx,IS,4,20,0.1,500000,10000,3,20260911,1591,60.0,24.70144563167819,0.9996,0.0,0.0004,9996,0,4,4773,655.0,1012422.5064796219,
fx,IS,6,20,0.1,500000,10000,3,20260911,1591,60.0,16.59333752357008,0.9999,0.0,0.0001,9999,0,1,4773,440.0,1017348.6278753028,
fx,IS,8,20,0.1,500000,10000,3,20260911,1591,60.0,12.55813953488372,0.9996,0.0004,0.0,9996,4,0,4773,333.0,1023232.7628702978,49499.73358975914
fx,IS,12,20,0.1,500000,10000,3,20260911,1591,60.0,8.334380892520427,0.9931,0.0069,0.0,9931,69,0,4773,221.0,1032783.5625953805,49117.19488879882
fx,IS,16,20,0.1,500000,10000,3,20260911,1591,60.0,6.222501571338781,0.972,0.028,0.0,9720,280,0,4773,165.0,1041825.0863505432,48659.51370310415
fx,IS,24,20,0.1,500000,10000,3,20260911,1591,60.0,3.6957888120678817,0.8844,0.1156,0.0,8844,1156,0,4773,98.0,1063560.103420566,47921.62138580323
fx,IS,32,20,0.1,500000,10000,3,20260911,1591,60.0,2.338152105593966,0.7869,0.2131,0.0,7869,2131,0,4773,62.0,1075641.6175784837,46857.41217196013
fx,IS,0.5,20,0.2,500000,10000,3,20260911,1591,60.0,159.91829038340666,0.3336,0.0,0.6664,3336,0,6664,4773,4240.5,1001651.8877007064,
fx,IS,1,20,0.2,500000,10000,3,20260911,1591,60.0,97.8629792583281,0.9781,0.0,0.0219,9781,0,219,4773,2595.0,1003175.3498809761,
fx,IS,2,20,0.2,500000,10000,3,20260911,1591,60.0,49.13890634820867,0.9994,0.0,0.0006,9994,0,6,4773,1303.0,1006255.6501854905,
fx,IS,3,20,0.2,500000,10000,3,20260911,1591,60.0,32.96040226272785,0.9995,0.0,0.0005,9995,0,5,4773,874.0,1009435.0378854113,
fx,IS,4,20,0.2,500000,10000,3,20260911,1591,60.0,24.70144563167819,0.9996,0.0,0.0004,9996,0,4,4773,655.0,1012422.5064796219,
fx,IS,6,20,0.2,500000,10000,3,20260911,1591,60.0,16.555625392834695,0.9995,0.0004,0.0001,9995,4,1,4773,439.0,1017348.6278753028,97888.33360615431
fx,IS,8,20,0.2,500000,10000,3,20260911,1591,60.0,12.55813953488372,0.9973,0.0027,0.0,9973,27,0,4773,333.0,1023210.4554486423,99315.85783675051
fx,IS,12,20,0.2,500000,10000,3,20260911,1591,60.0,8.145820238843495,0.9751,0.0249,0.0,9751,249,0,4773,216.0,1032709.4493935978,97622.79107950312
fx,IS,16,20,0.2,500000,10000,3,20260911,1591,60.0,5.845380263984915,0.9278,0.0722,0.0,9278,722,0,4773,155.0,1041862.62304888,97574.06414528875
fx,IS,24,20,0.2,500000,10000,3,20260911,1591,60.0,3.2055311125078565,0.8038,0.1962,0.0,8038,1962,0,4773,85.0,1064277.2176803749,95664.36328537039
fx,IS,32,20,0.2,500000,10000,3,20260911,1591,60.0,2.0364550597108737,0.7113,0.2887,0.0,7113,2887,0,4773,54.0,1076204.8404465036,93732.86360845782
fx,IS,0.5,20,0.3,500000,10000,3,20260911,1591,60.0,159.91829038340666,0.3336,0.0,0.6664,3336,0,6664,4773,4240.5,1001651.8877007064,
fx,IS,1,20,0.3,500000,10000,3,20260911,1591,60.0,97.8629792583281,0.9781,0.0,0.0219,9781,0,219,4773,2595.0,1003175.3498809761,
fx,IS,2,20,0.3,500000,10000,3,20260911,1591,60.0,49.13890634820867,0.9994,0.0,0.0006,9994,0,6,4773,1303.0,1006255.6501854905,
fx,IS,3,20,0.3,500000,10000,3,20260911,1591,60.0,32.96040226272785,0.9995,0.0,0.0005,9995,0,5,4773,874.0,1009435.0378854113,
fx,IS,4,20,0.3,500000,10000,3,20260911,1591,60.0,24.70144563167819,0.9996,0.0,0.0004,9996,0,4,4773,655.0,1012422.5064796219,
fx,IS,6,20,0.3,500000,10000,3,20260911,1591,60.0,16.555625392834695,0.9985,0.0015,0.0,9985,15,0,4773,439.0,1017348.6278753028,148858.06595296488
fx,IS,8,20,0.3,500000,10000,3,20260911,1591,60.0,12.407291011942174,0.9894,0.0106,0.0,9894,106,0,4773,329.0,1023244.5674641377,148616.14340680727
fx,IS,12,20,0.3,500000,10000,3,20260911,1591,60.0,7.806411062225016,0.9417,0.0583,0.0,9417,583,0,4773,207.0,1032660.2318783322,146803.0775867172
fx,IS,16,20,0.3,500000,10000,3,20260911,1591,60.0,5.35512256442489,0.868,0.132,0.0,8680,1320,0,4773,142.0,1041974.3795213182,146284.44472104823
fx,IS,24,20,0.3,500000,10000,3,20260911,1591,60.0,2.8661219358893777,0.7329,0.2671,0.0,7329,2671,0,4773,76.0,1064344.5225621772,144076.87233813247
fx,IS,32,20,0.3,500000,10000,3,20260911,1591,60.0,1.7724701445631679,0.642,0.358,0.0,6420,3580,0,4773,47.0,1076292.3529016091,140107.91744030674
fx,IS,0.5,50,0.1,500000,10000,3,20260911,1591,60.0,156.4299182903834,0.3983,0.0,0.6017,3983,0,6017,4773,4148.0,1001657.9730209716,
fx,IS,1,50,0.1,500000,10000,3,20260911,1591,60.0,94.73287240729101,0.9764,0.0,0.0236,9764,0,236,4773,2512.0,1003462.3407833218,
fx,IS,2,50,0.1,500000,10000,3,20260911,1591,60.0,47.59270898805782,0.999,0.0,0.001,9990,0,10,4773,1262.0,1006882.5187925422,
fx,IS,3,50,0.1,500000,10000,3,20260911,1591,60.0,31.54619736015085,0.9998,0.0,0.0002,9998,0,2,4773,836.5,1009718.2627104509,
fx,IS,4,50,0.1,500000,10000,3,20260911,1591,60.0,23.79635449402891,0.9999,0.0,0.0001,9999,0,1,4773,631.0,1012725.142258446,
fx,IS,6,50,0.1,500000,10000,3,20260911,1591,60.0,15.95223130106851,0.9999,0.0,0.0001,9999,0,1,4773,423.0,1018989.8361531708,
fx,IS,8,50,0.1,500000,10000,3,20260911,1591,60.0,11.879321181646763,0.9996,0.0002,0.0002,9996,2,2,4773,315.0,1024401.7058250105,49790.61345164343
