book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
gold,FULL,32,20,0.1,500000,10000,3,20260911,932,115.0,3.084763948497854,0.9096,0.0904,0.0,9096,904,0,2796,25.0,1105410.9692437479,-40942.24021766319
gold,FULL,0.5,20,0.2,500000,10000,3,20260911,932,115.0,112.53218884120172,1.0,0.0,0.0,10000,0,0,2796,912.0,1003797.6757129757,
gold,FULL,1,20,0.2,500000,10000,3,20260911,932,115.0,58.857296137339056,1.0,0.0,0.0,10000,0,0,2796,477.0,1007809.2604457971,
gold,FULL,2,20,0.2,500000,10000,3,20260911,932,115.0,32.451716738197426,1.0,0.0,0.0,10000,0,0,2796,263.0,1015180.7739567223,
gold,FULL,3,20,0.2,500000,10000,3,20260911,932,115.0,23.197424892703864,1.0,0.0,0.0,10000,0,0,2796,188.0,1021119.9613478485,
gold,FULL,4,20,0.2,500000,10000,3,20260911,932,115.0,18.138412017167383,1.0,0.0,0.0,10000,0,0,2796,147.0,1025854.5831443327,
gold,FULL,6,20,0.2,500000,10000,3,20260911,932,115.0,12.832618025751072,1.0,0.0,0.0,10000,0,0,2796,104.0,1034136.2076605988,
gold,FULL,8,20,0.2,500000,10000,3,20260911,932,115.0,10.241416309012875,1.0,0.0,0.0,10000,0,0,2796,83.0,1041980.6398290764,
gold,FULL,12,20,0.2,500000,10000,3,20260911,932,115.0,7.4034334763948495,0.9992,0.0008,0.0,9992,8,0,2796,60.0,1053759.1967756674,91234.8891909892
gold,FULL,16,20,0.2,500000,10000,3,20260911,932,115.0,5.799356223175966,0.9905,0.0095,0.0,9905,95,0,2796,47.0,1067878.203392,94988.28024133021
gold,FULL,24,20,0.2,500000,10000,3,20260911,932,115.0,3.7017167381974247,0.9127,0.0873,0.0,9127,873,0,2796,30.0,1089590.524878882,89685.52296316926
gold,FULL,32,20,0.2,500000,10000,3,20260911,932,115.0,2.96137339055794,0.8843,0.1157,0.0,8843,1157,0,2796,24.0,1104610.6145972924,55910.53608192779
gold,FULL,0.5,20,0.3,500000,10000,3,20260911,932,115.0,112.53218884120172,1.0,0.0,0.0,10000,0,0,2796,912.0,1003797.6757129757,
gold,FULL,1,20,0.3,500000,10000,3,20260911,932,115.0,58.857296137339056,1.0,0.0,0.0,10000,0,0,2796,477.0,1007809.2604457971,
gold,FULL,2,20,0.3,500000,10000,3,20260911,932,115.0,32.451716738197426,1.0,0.0,0.0,10000,0,0,2796,263.0,1015180.7739567223,
gold,FULL,3,20,0.3,500000,10000,3,20260911,932,115.0,23.197424892703864,1.0,0.0,0.0,10000,0,0,2796,188.0,1021119.9613478485,
gold,FULL,4,20,0.3,500000,10000,3,20260911,932,115.0,18.138412017167383,1.0,0.0,0.0,10000,0,0,2796,147.0,1025854.5831443327,
gold,FULL,6,20,0.3,500000,10000,3,20260911,932,115.0,12.832618025751072,1.0,0.0,0.0,10000,0,0,2796,104.0,1034136.2076605988,
gold,FULL,8,20,0.3,500000,10000,3,20260911,932,115.0,10.241416309012875,0.9996,0.0004,0.0,9996,4,0,2796,83.0,1041986.4759172248,140757.19526561972
gold,FULL,12,20,0.3,500000,10000,3,20260911,932,115.0,7.280042918454936,0.9939,0.0061,0.0,9939,61,0,2796,59.0,1053672.7009658457,141577.0920327766
gold,FULL,16,20,0.3,500000,10000,3,20260911,932,115.0,5.675965665236052,0.9716,0.0284,0.0,9716,284,0,2796,46.0,1067435.0554166015,141215.24186463756
gold,FULL,24,20,0.3,500000,10000,3,20260911,932,115.0,3.578326180257511,0.8863,0.1137,0.0,8863,1137,0,2796,29.0,1088769.5201375817,110230.66541783509
gold,FULL,32,20,0.3,500000,10000,3,20260911,932,115.0,2.96137339055794,0.8585,0.1415,0.0,8585,1415,0,2796,24.0,1103426.187264,115705.20840711032
gold,FULL,0.5,50,0.1,500000,10000,3,20260911,932,115.0,125.67328326180258,1.0,0.0,0.0,10000,0,0,2796,1018.5,1003396.8597065529,
gold,FULL,1,50,0.1,500000,10000,3,20260911,932,115.0,70.33261802575107,1.0,0.0,0.0,10000,0,0,2796,570.0,1006834.6099276936,
gold,FULL,2,50,0.1,500000,10000,3,20260911,932,115.0,40.101931330472105,1.0,0.0,0.0,10000,0,0,2796,325.0,1012584.3746567066,
gold,FULL,3,50,0.1,500000,10000,3,20260911,932,115.0,28.256437768240342,1.0,0.0,0.0,10000,0,0,2796,229.0,1016002.4801232375,
gold,FULL,4,50,0.1,500000,10000,3,20260911,932,115.0,21.840128755364805,1.0,0.0,0.0,10000,0,0,2796,177.0,1018869.7230751046,
gold,FULL,6,50,0.1,500000,10000,3,20260911,932,115.0,15.300429184549357,1.0,0.0,0.0,10000,0,0,2796,124.0,1024923.1274821053,
gold,FULL,8,50,0.1,500000,10000,3,20260911,932,115.0,11.84549356223176,1.0,0.0,0.0,10000,0,0,2796,96.0,1032222.1460352463,
gold,FULL,12,50,0.1,500000,10000,3,20260911,932,115.0,8.63733905579399,1.0,0.0,0.0,10000,0,0,2796,70.0,1044745.5837835083,
gold,FULL,16,50,0.1,500000,10000,3,20260911,932,115.0,7.526824034334764,1.0,0.0,0.0,10000,0,0,2796,61.0,1066208.340432948,
gold,FULL,24,50,0.1,500000,10000,3,20260911,932,115.0,6.663090128755365,0.9905,0.0095,0.0,9905,95,0,2796,54.0,1085205.3807111157,44024.00000000001
gold,FULL,32,50,0.1,500000,10000,3,20260911,932,115.0,4.318669527896995,0.9212,0.0788,0.0,9212,788,0,2796,35.0,1097873.0831111511,30843.463308273844
gold,FULL,0.5,50,0.2,500000,10000,3,20260911,932,115.0,125.67328326180258,1.0,0.0,0.0,10000,0,0,2796,1018.5,1003396.8597065529,
gold,FULL,1,50,0.2,500000,10000,3,20260911,932,115.0,70.33261802575107,1.0,0.0,0.0,10000,0,0,2796,570.0,1006834.6099276936,
gold,FULL,2,50,0.2,500000,10000,3,20260911,932,115.0,40.101931330472105,1.0,0.0,0.0,10000,0,0,2796,325.0,1012584.3746567066,
gold,FULL,3,50,0.2,500000,10000,3,20260911,932,115.0,28.256437768240342,1.0,0.0,0.0,10000,0,0,2796,229.0,1016002.4801232375,
gold,FULL,4,50,0.2,500000,10000,3,20260911,932,115.0,21.840128755364805,1.0,0.0,0.0,10000,0,0,2796,177.0,1018869.7230751046,
gold,FULL,6,50,0.2,500000,10000,3,20260911,932,115.0,15.300429184549357,1.0,0.0,0.0,10000,0,0,2796,124.0,1024923.1274821053,
gold,FULL,8,50,0.2,500000,10000,3,20260911,932,115.0,11.84549356223176,1.0,0.0,0.0,10000,0,0,2796,96.0,1032222.1460352463,
gold,FULL,12,50,0.2,500000,10000,3,20260911,932,115.0,8.63733905579399,1.0,0.0,0.0,10000,0,0,2796,70.0,1044745.5837835083,
gold,FULL,16,50,0.2,500000,10000,3,20260911,932,115.0,7.526824034334764,0.9992,0.0008,0.0,9992,8,0,2796,61.0,1066174.3078179192,96044.15258123065
