book,window,k,block_length,ruin_frac,initial,n_paths,max_horizon,seed,n_trades,window_months,median_months_double,p_double,p_ruin,p_unresolved,n_double,n_ruin,n_unresolved,max_trades,median_trades_double,median_final_double,median_final_ruin
gold,OOS,3,20,0.2,500000,10000,3,20260911,470,55.0,52.308510638297875,0.9985,0.0,0.0015,9985,0,15,1410,447.0,1010160.9022233195,
gold,OOS,4,20,0.2,500000,10000,3,20260911,470,55.0,39.43617021276596,0.9998,0.0,0.0002,9998,0,2,1410,337.0,1013515.0772162067,
gold,OOS,6,20,0.2,500000,10000,3,20260911,470,55.0,26.79787234042553,1.0,0.0,0.0,10000,0,0,1410,229.0,1020081.4173397627,
gold,OOS,8,20,0.2,500000,10000,3,20260911,470,55.0,20.654255319148938,1.0,0.0,0.0,10000,0,0,1410,176.5,1026124.410517249,
gold,OOS,12,20,0.2,500000,10000,3,20260911,470,55.0,14.393617021276595,0.9999,0.0001,0.0,9999,1,0,1410,123.0,1037878.6014742485,97046.14278090962
gold,OOS,16,20,0.2,500000,10000,3,20260911,470,55.0,11.46808510638298,0.9978,0.0022,0.0,9978,22,0,1410,98.0,1047657.2188053671,98721.90826095804
gold,OOS,24,20,0.2,500000,10000,3,20260911,470,55.0,7.840425531914893,0.9369,0.0631,0.0,9369,631,0,1410,67.0,1069917.1086718987,94460.73503445736
gold,OOS,32,20,0.2,500000,10000,3,20260911,470,55.0,6.085106382978723,0.9145,0.0855,0.0,9145,855,0,1410,52.0,1086514.9500711455,-75320.2681236197
gold,OOS,0.5,20,0.3,500000,10000,3,20260911,470,55.0,154.70212765957447,0.0007,0.0,0.9993,7,0,9993,1410,1322.0,1000761.9009426059,
gold,OOS,1,20,0.3,500000,10000,3,20260911,470,55.0,134.10638297872342,0.5946,0.0,0.4054,5946,0,4054,1410,1146.0,1003492.1403271969,
gold,OOS,2,20,0.3,500000,10000,3,20260911,470,55.0,77.23404255319149,0.9886,0.0,0.0114,9886,0,114,1410,660.0,1006710.2598549656,
gold,OOS,3,20,0.3,500000,10000,3,20260911,470,55.0,52.308510638297875,0.9985,0.0,0.0015,9985,0,15,1410,447.0,1010160.9022233195,
gold,OOS,4,20,0.3,500000,10000,3,20260911,470,55.0,39.43617021276596,0.9998,0.0,0.0002,9998,0,2,1410,337.0,1013515.0772162067,
